Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",-14.180000,-37.300000,180.000000,bottom
"C2","1uF","C_0402_1005Metric",-16.650000,-37.520000,90.000000,bottom
"C3","0.1 uF","C_0402_1005Metric",-25.000000,-23.300000,90.000000,bottom
"C4","1uF","C_0402_1005Metric",-31.125000,-43.425000,90.000000,bottom
"C5","1uF","C_0402_1005Metric",-30.125000,-43.375000,90.000000,bottom
"C6","30pF","C_0402_1005Metric",-24.100000,-54.100000,-90.000000,bottom
"C7","30pF","C_0402_1005Metric",-21.860000,-56.870000,0.000000,bottom
"C8","100nF","C_0402_1005Metric",-15.600000,-37.520000,90.000000,bottom
"C9","100nF","C_0402_1005Metric",-14.200000,-38.300000,180.000000,bottom
"C10","100nF","C_0402_1005Metric",-12.950000,-44.430000,180.000000,bottom
"C11","100nF","C_0402_1005Metric",-18.800000,-49.680000,-90.000000,bottom
"C12","100nF","C_0402_1005Metric",-24.520000,-44.180000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",-24.000000,-39.920000,90.000000,bottom
"C14","100nF","C_0402_1005Metric",-18.470000,-35.900000,90.000000,bottom
"C15","100nF","C_0402_1005Metric",-14.200000,-39.300000,180.000000,bottom
"C16","100nF","C_0402_1005Metric",-19.400000,-36.200000,90.000000,bottom
"C17","100nF","C_0402_1005Metric",-17.800000,-49.680000,-90.000000,bottom
"C18","0.1 uF","C_0402_1005Metric",0.900000,-52.500000,0.000000,bottom
"D1","D_Small","D_SOD-123",7.500000,25.600000,-90.000000,bottom
"D2","D_Small","D_SOD-123",-28.218750,25.600000,-90.000000,bottom
"D3","D_Small","D_SOD-123",-47.268750,25.600000,-90.000000,bottom
"D4","D_Small","D_SOD-123",-66.318750,25.600000,-90.000000,bottom
"D5","D_Small","D_SOD-123",-85.368750,25.600000,-90.000000,bottom
"D6","D_Small","D_SOD-123",-113.943750,25.600000,-90.000000,bottom
"D7","D_Small","D_SOD-123",-135.375000,25.600000,-90.000000,bottom
"D8","D_Small","D_SOD-123",-154.425000,25.600000,-90.000000,bottom
"D9","D_Small","D_SOD-123",-173.475000,25.600000,-90.000000,bottom
"D10","D_Small","D_SOD-123",-202.050000,25.600000,-90.000000,bottom
"D11","D_Small","D_SOD-123",-221.100000,25.600000,-90.000000,bottom
"D12","D_Small","D_SOD-123",-240.150000,25.600000,-90.000000,bottom
"D13","D_Small","D_SOD-123",-259.200000,25.600000,-90.000000,bottom
"D14","D_Small","D_SOD-123",7.500000,6.550000,-90.000000,bottom
"D15","D_Small","D_SOD-123",-11.550000,6.550000,-90.000000,bottom
"D16","D_Small","D_SOD-123",-30.600000,6.550000,-90.000000,bottom
"D17","D_Small","D_SOD-123",-49.650000,6.550000,-90.000000,bottom
"D18","D_Small","D_SOD-123",-68.700000,6.550000,-90.000000,bottom
"D19","D_Small","D_SOD-123",-87.750000,6.550000,-90.000000,bottom
"D20","D_Small","D_SOD-123",-106.800000,6.550000,-90.000000,bottom
"D21","D_Small","D_SOD-123",-125.850000,6.550000,-90.000000,bottom
"D22","D_Small","D_SOD-123",-144.900000,6.550000,-90.000000,bottom
"D23","D_Small","D_SOD-123",-163.950000,6.550000,-90.000000,bottom
"D24","D_Small","D_SOD-123",-183.000000,6.550000,-90.000000,bottom
"D25","D_Small","D_SOD-123",-202.050000,6.550000,-90.000000,bottom
"D26","D_Small","D_SOD-123",-221.100000,6.550000,-90.000000,bottom
"D27","D_Small","D_SOD-123",-249.675000,6.550000,-90.000000,bottom
"D28","D_Small","D_SOD-123",2.737500,-12.500000,-90.000000,bottom
"D29","D_Small","D_SOD-123",-21.075000,-12.500000,-90.000000,bottom
"D30","D_Small","D_SOD-123",-40.125000,-12.500000,-90.000000,bottom
"D31","D_Small","D_SOD-123",-59.175000,-12.500000,-90.000000,bottom
"D32","D_Small","D_SOD-123",-78.225000,-12.500000,-90.000000,bottom
"D33","D_Small","D_SOD-123",-97.275000,-12.500000,-90.000000,bottom
"D34","D_Small","D_SOD-123",-116.325000,-12.500000,-90.000000,bottom
"D35","D_Small","D_SOD-123",-135.375000,-12.500000,-90.000000,bottom
"D36","D_Small","D_SOD-123",-154.425000,-12.500000,-90.000000,bottom
"D37","D_Small","D_SOD-123",-173.475000,-12.500000,-90.000000,bottom
"D38","D_Small","D_SOD-123",-192.525000,-12.500000,-90.000000,bottom
"D39","D_Small","D_SOD-123",-211.575000,-12.500000,-90.000000,bottom
"D40","D_Small","D_SOD-123",-230.625000,-12.500000,-90.000000,bottom
"D41","D_Small","D_SOD-123",-254.437500,-12.500000,-90.000000,bottom
"D42","D_Small","D_SOD-123",0.356250,-31.550000,-90.000000,bottom
"D43","D_Small","D_SOD-123",-28.400000,-29.600000,180.000000,bottom
"D44","D_Small","D_SOD-123",-44.887500,-31.550000,-90.000000,bottom
"D45","D_Small","D_SOD-123",-63.937500,-31.550000,-90.000000,bottom
"D46","D_Small","D_SOD-123",-82.987500,-31.550000,-90.000000,bottom
"D47","D_Small","D_SOD-123",-102.037500,-31.550000,-90.000000,bottom
"D48","D_Small","D_SOD-123",-121.087500,-31.550000,-90.000000,bottom
"D49","D_Small","D_SOD-123",-140.137500,-31.550000,-90.000000,bottom
"D50","D_Small","D_SOD-123",-159.187500,-31.550000,-90.000000,bottom
"D51","D_Small","D_SOD-123",-178.237500,-31.550000,-90.000000,bottom
"D52","D_Small","D_SOD-123",-197.287500,-31.550000,-90.000000,bottom
"D53","D_Small","D_SOD-123",-216.337500,-31.550000,-90.000000,bottom
"D54","D_Small","D_SOD-123",-247.293750,-31.550000,-90.000000,bottom
"D55","D_Small","D_SOD-123",-4.406250,-50.600000,-90.000000,bottom
"D56","D_Small","D_SOD-123",-35.362500,-50.600000,-90.000000,bottom
"D57","D_Small","D_SOD-123",-54.412500,-50.600000,-90.000000,bottom
"D58","D_Small","D_SOD-123",-73.462500,-50.600000,-90.000000,bottom
"D59","D_Small","D_SOD-123",-92.512500,-50.600000,-90.000000,bottom
"D60","D_Small","D_SOD-123",-111.562500,-50.600000,-90.000000,bottom
"D61","D_Small","D_SOD-123",-130.612500,-50.600000,-90.000000,bottom
"D62","D_Small","D_SOD-123",-149.662500,-50.600000,-90.000000,bottom
"D63","D_Small","D_SOD-123",-168.712500,-50.600000,-90.000000,bottom
"D64","D_Small","D_SOD-123",-187.762500,-50.600000,-90.000000,bottom
"D65","D_Small","D_SOD-123",-206.812500,-50.600000,-90.000000,bottom
"D66","D_Small","D_SOD-123",-240.150000,-50.600000,-90.000000,bottom
"D67","D_Small","D_SOD-123",7.500000,-69.650000,-90.000000,bottom
"D68","D_Small","D_SOD-123",-11.550000,-69.650000,-90.000000,bottom
"D69","D_Small","D_SOD-123",-30.600000,-69.650000,-90.000000,bottom
"D70","D_Small","D_SOD-123",-52.031250,-69.650000,-90.000000,bottom
"D71","D_Small","D_SOD-123",-123.468750,-69.650000,-90.000000,bottom
"D72","D_Small","D_SOD-123",-194.906250,-69.650000,-90.000000,bottom
"D73","D_Small","D_SOD-123",-221.100000,-69.650000,-90.000000,bottom
"D74","D_Small","D_SOD-123",-240.150000,-69.650000,-90.000000,bottom
"D75","D_Small","D_SOD-123",-259.200000,-69.650000,-90.000000,bottom
"D76","Schottky 5819W","D_SOD-123",-23.100000,20.950000,90.000000,bottom
"D77","Power LED (Green)","LED_0805_2012Metric",-29.975000,-41.350000,180.000000,bottom
"F1","TLC_PSMD050","Fuse_0805_2012Metric",-23.150000,16.750000,-90.000000,bottom
"FB1","100@100MHz","L_0805_2012Metric",-33.137500,-45.100000,-90.000000,bottom
"R1","27 ohm","R_0603_1608Metric",-18.200000,-33.425000,90.000000,bottom
"R2","27 ohm","R_0603_1608Metric",-16.600000,-33.425000,90.000000,bottom
"R3","1k ohm","R_0402_1005Metric",-19.600000,-54.310000,90.000000,bottom
"R4","10k ohm","R_0402_1005Metric",-26.500000,-25.890000,-90.000000,bottom
"R5","1k ohm","R_0402_1005Metric",-27.000000,-27.800000,0.000000,bottom
"R6","5.1k","R_0402_1005Metric",-19.500000,21.100000,0.000000,bottom
"R7","5.1k","R_0402_1005Metric",-11.100000,20.900000,180.000000,bottom
"R8","10k ohm","R_0402_1005Metric",2.500000,-48.800000,90.000000,bottom
"R9","1k5 ohm","R_0402_1005Metric",-29.050000,-43.350000,90.000000,bottom
"U1","RP2040","rp2040",-18.800000,-43.200000,180.000000,bottom
"U2","TYPE-C-31-M-12","simple-usb-c",-16.668750,27.831250,0.000000,bottom
"U3","XC6206PxxxMR","SOT-23",-30.200000,-46.100000,0.000000,bottom
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-23.100000,-29.300000,90.000000,bottom
"U5","USB Boot","tactile-switch",-31.799975,-24.650394,180.000000,bottom
"U6","Reset","tactile-switch",1.100000,-57.500000,90.000000,bottom
"Y1","12MHz - 20pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",-21.900000,-54.200000,-90.000000,bottom
"SW1","ESC","SW_Hotswap_Kailh_MX_1.00u",0.000000,19.050000,0.000000,bottom
"SW2","F1","SW_Hotswap_Kailh_MX_1.00u",35.718750,19.050000,0.000000,bottom
"SW3","F2","SW_Hotswap_Kailh_MX_1.00u",54.768750,19.050000,0.000000,bottom
"SW4","F3","SW_Hotswap_Kailh_MX_1.00u",73.818750,19.050000,0.000000,bottom
"SW5","F4","SW_Hotswap_Kailh_MX_1.00u",92.868750,19.050000,0.000000,bottom
"SW6","F5","SW_Hotswap_Kailh_MX_1.00u",121.443750,19.050000,0.000000,bottom
"SW7","F6","SW_Hotswap_Kailh_MX_1.00u",142.875000,19.050000,0.000000,bottom
"SW8","F7","SW_Hotswap_Kailh_MX_1.00u",161.925000,19.050000,0.000000,bottom
"SW9","F8","SW_Hotswap_Kailh_MX_1.00u",180.975000,19.050000,0.000000,bottom
"SW10","F9","SW_Hotswap_Kailh_MX_1.00u",209.550000,19.050000,0.000000,bottom
"SW11","F10","SW_Hotswap_Kailh_MX_1.00u",228.600000,19.050000,0.000000,bottom
"SW12","F11","SW_Hotswap_Kailh_MX_1.00u",247.650000,19.050000,0.000000,bottom
"SW13","F12","SW_Hotswap_Kailh_MX_1.00u",266.700000,19.050000,0.000000,bottom
"SW14","TILDE","SW_Hotswap_Kailh_MX_1.00u",0.000000,0.000000,0.000000,bottom
"SW15","1","SW_Hotswap_Kailh_MX_1.00u",19.050000,0.000000,0.000000,bottom
"SW16","2","SW_Hotswap_Kailh_MX_1.00u",38.100000,0.000000,0.000000,bottom
"SW17","3","SW_Hotswap_Kailh_MX_1.00u",57.150000,0.000000,0.000000,bottom
"SW18","4","SW_Hotswap_Kailh_MX_1.00u",76.200000,0.000000,0.000000,bottom
"SW19","5","SW_Hotswap_Kailh_MX_1.00u",95.250000,0.000000,0.000000,bottom
"SW20","6","SW_Hotswap_Kailh_MX_1.00u",114.300000,0.000000,0.000000,bottom
"SW21","7","SW_Hotswap_Kailh_MX_1.00u",133.350000,0.000000,0.000000,bottom
"SW22","8","SW_Hotswap_Kailh_MX_1.00u",152.400000,0.000000,0.000000,bottom
"SW23","9","SW_Hotswap_Kailh_MX_1.00u",171.450000,0.000000,0.000000,bottom
"SW24","0","SW_Hotswap_Kailh_MX_1.00u",190.500000,0.000000,0.000000,bottom
"SW25","-","SW_Hotswap_Kailh_MX_1.00u",209.550000,0.000000,0.000000,bottom
"SW26","=","SW_Hotswap_Kailh_MX_1.00u",228.600000,0.000000,0.000000,bottom
"SW27","BACKSPACE","SW_Hotswap_Kailh_MX_2.00u",257.175000,0.000000,0.000000,bottom
"SW28","TAB","SW_Hotswap_Kailh_MX_1.50u",4.762500,-19.050000,0.000000,bottom
"SW29","Q","SW_Hotswap_Kailh_MX_1.00u",28.575000,-19.050000,0.000000,bottom
"SW30","W","SW_Hotswap_Kailh_MX_1.00u",47.625000,-19.050000,0.000000,bottom
"SW31","E","SW_Hotswap_Kailh_MX_1.00u",66.675000,-19.050000,0.000000,bottom
"SW32","R","SW_Hotswap_Kailh_MX_1.00u",85.725000,-19.050000,0.000000,bottom
"SW33","T","SW_Hotswap_Kailh_MX_1.00u",104.775000,-19.050000,0.000000,bottom
"SW34","Y","SW_Hotswap_Kailh_MX_1.00u",123.825000,-19.050000,0.000000,bottom
"SW35","U","SW_Hotswap_Kailh_MX_1.00u",142.875000,-19.050000,0.000000,bottom
"SW36","I","SW_Hotswap_Kailh_MX_1.00u",161.925000,-19.050000,0.000000,bottom
"SW37","O","SW_Hotswap_Kailh_MX_1.00u",180.975000,-19.050000,0.000000,bottom
"SW38","P","SW_Hotswap_Kailh_MX_1.00u",200.025000,-19.050000,0.000000,bottom
"SW39","[","SW_Hotswap_Kailh_MX_1.00u",219.075000,-19.050000,0.000000,bottom
"SW40","]","SW_Hotswap_Kailh_MX_1.00u",238.125000,-19.050000,0.000000,bottom
"SW41","\","SW_Hotswap_Kailh_MX_1.50u",261.937500,-19.050000,0.000000,bottom
"SW42","CAPS","SW_Hotswap_Kailh_MX_1.75u",7.143750,-38.100000,0.000000,bottom
"SW43","A","SW_Hotswap_Kailh_MX_1.00u",33.337500,-38.100000,0.000000,bottom
"SW44","S","SW_Hotswap_Kailh_MX_1.00u",52.387500,-38.100000,0.000000,bottom
"SW45","D","SW_Hotswap_Kailh_MX_1.00u",71.437500,-38.100000,0.000000,bottom
"SW46","F","SW_Hotswap_Kailh_MX_1.00u",90.487500,-38.100000,0.000000,bottom
"SW47","G","SW_Hotswap_Kailh_MX_1.00u",109.537500,-38.100000,0.000000,bottom
"SW48","H","SW_Hotswap_Kailh_MX_1.00u",128.587500,-38.100000,0.000000,bottom
"SW49","J","SW_Hotswap_Kailh_MX_1.00u",147.637500,-38.100000,0.000000,bottom
"SW50","K","SW_Hotswap_Kailh_MX_1.00u",166.687500,-38.100000,0.000000,bottom
"SW51","L","SW_Hotswap_Kailh_MX_1.00u",185.737500,-38.100000,0.000000,bottom
"SW52",";","SW_Hotswap_Kailh_MX_1.00u",204.787500,-38.100000,0.000000,bottom
"SW53","'","SW_Hotswap_Kailh_MX_1.00u",223.837500,-38.100000,0.000000,bottom
"SW54","ENTER","SW_Hotswap_Kailh_MX_2.25u",254.793750,-38.100000,0.000000,bottom
"SW55","L_SHIFT","SW_Hotswap_Kailh_MX_2.25u",11.906250,-57.150000,0.000000,bottom
"SW56","Z","SW_Hotswap_Kailh_MX_1.00u",42.862500,-57.150000,0.000000,bottom
"SW57","X","SW_Hotswap_Kailh_MX_1.00u",61.912500,-57.150000,0.000000,bottom
"SW58","C","SW_Hotswap_Kailh_MX_1.00u",80.962500,-57.150000,0.000000,bottom
"SW59","V","SW_Hotswap_Kailh_MX_1.00u",100.012500,-57.150000,0.000000,bottom
"SW60","B","SW_Hotswap_Kailh_MX_1.00u",119.062500,-57.150000,0.000000,bottom
"SW61","N","SW_Hotswap_Kailh_MX_1.00u",138.112500,-57.150000,0.000000,bottom
"SW62","M","SW_Hotswap_Kailh_MX_1.00u",157.162500,-57.150000,0.000000,bottom
"SW63",",","SW_Hotswap_Kailh_MX_1.00u",176.212500,-57.150000,0.000000,bottom
"SW64",".","SW_Hotswap_Kailh_MX_1.00u",195.262500,-57.150000,0.000000,bottom
"SW65","/","SW_Hotswap_Kailh_MX_1.00u",214.312500,-57.150000,0.000000,bottom
"SW66","UP","SW_Hotswap_Kailh_MX_1.00u",247.650000,-57.150000,0.000000,bottom
"SW67","FN","SW_Hotswap_Kailh_MX_1.00u",0.000000,-76.200000,0.000000,bottom
"SW68","BL_CTRL","SW_Hotswap_Kailh_MX_1.00u",19.050000,-76.200000,0.000000,bottom
"SW69","L_ALT","SW_Hotswap_Kailh_MX_1.00u",38.100000,-76.200000,0.000000,bottom
"SW70","L_CMD","SW_Hotswap_Kailh_MX_1.25u",59.531250,-76.200000,0.000000,bottom
"SW71","SPACE","SW_Hotswap_Kailh_MX_6.25u",130.968750,-76.200000,0.000000,bottom
"SW72","R_CMD","SW_Hotswap_Kailh_MX_1.25u",202.406250,-76.200000,0.000000,bottom
"SW73","LEFT","SW_Hotswap_Kailh_MX_1.00u",228.600000,-76.200000,0.000000,bottom
"SW74","DOWN","SW_Hotswap_Kailh_MX_1.00u",247.650000,-76.200000,0.000000,bottom
"SW75","RIGHT","SW_Hotswap_Kailh_MX_1.00u",266.700000,-76.200000,0.000000,bottom
