Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",-42.755000,-84.925000,180.000000,bottom
"C2","1uF","C_0402_1005Metric",-45.225000,-85.145000,90.000000,bottom
"C3","0.1 uF","C_0402_1005Metric",-53.575000,-70.925000,90.000000,bottom
"C4","1uF","C_0402_1005Metric",-59.700000,-91.050000,90.000000,bottom
"C5","1uF","C_0402_1005Metric",-58.700000,-91.000000,90.000000,bottom
"C6","30pF","C_0402_1005Metric",-52.675000,-101.725000,270.000,bottom
"C7","30pF","C_0402_1005Metric",-50.435000,-104.495000,0.000000,bottom
"C8","100nF","C_0402_1005Metric",-44.175000,-85.145000,90.000000,bottom
"C9","100nF","C_0402_1005Metric",-42.775000,-85.925000,180.000000,bottom
"C10","100nF","C_0402_1005Metric",-41.525000,-92.055000,180.000000,bottom
"C11","100nF","C_0402_1005Metric",-47.375000,-97.305000,270.000,bottom
"C12","100nF","C_0402_1005Metric",-53.095000,-91.805000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",-52.575000,-87.545000,90.000000,bottom
"C14","100nF","C_0402_1005Metric",-47.045000,-83.525000,90.000000,bottom
"C15","100nF","C_0402_1005Metric",-42.775000,-86.925000,180.000000,bottom
"C16","100nF","C_0402_1005Metric",-47.975000,-83.825000,90.000000,bottom
"C17","100nF","C_0402_1005Metric",-46.375000,-97.305000,270.000,bottom
"C18","0.1 uF","C_0402_1005Metric",-27.675000,-100.125000,0.000000,bottom
"D1","D_Small","D_SOD-123",-21.075000,-22.025000,270.000,bottom
"D2","D_Small","D_SOD-123",-56.793750,-22.025000,270.000,bottom
"D3","D_Small","D_SOD-123",-75.843750,-22.025000,270.000,bottom
"D4","D_Small","D_SOD-123",-94.893750,-22.025000,270.000,bottom
"D5","D_Small","D_SOD-123",-113.943750,-22.025000,270.000,bottom
"D6","D_Small","D_SOD-123",-142.518750,-22.025000,270.000,bottom
"D7","D_Small","D_SOD-123",-163.950000,-22.025000,270.000,bottom
"D8","D_Small","D_SOD-123",-183.000000,-22.025000,270.000,bottom
"D9","D_Small","D_SOD-123",-202.050000,-22.025000,270.000,bottom
"D10","D_Small","D_SOD-123",-230.625000,-22.025000,270.000,bottom
"D11","D_Small","D_SOD-123",-249.675000,-22.025000,270.000,bottom
"D12","D_Small","D_SOD-123",-268.725000,-22.025000,270.000,bottom
"D13","D_Small","D_SOD-123",-287.775000,-22.025000,270.000,bottom
"D14","D_Small","D_SOD-123",-21.075000,-41.075000,270.000,bottom
"D15","D_Small","D_SOD-123",-40.125000,-41.075000,270.000,bottom
"D16","D_Small","D_SOD-123",-59.175000,-41.075000,270.000,bottom
"D17","D_Small","D_SOD-123",-78.225000,-41.075000,270.000,bottom
"D18","D_Small","D_SOD-123",-97.275000,-41.075000,270.000,bottom
"D19","D_Small","D_SOD-123",-116.325000,-41.075000,270.000,bottom
"D20","D_Small","D_SOD-123",-135.375000,-41.075000,270.000,bottom
"D21","D_Small","D_SOD-123",-154.425000,-41.075000,270.000,bottom
"D22","D_Small","D_SOD-123",-173.475000,-41.075000,270.000,bottom
"D23","D_Small","D_SOD-123",-192.525000,-41.075000,270.000,bottom
"D24","D_Small","D_SOD-123",-211.575000,-41.075000,270.000,bottom
"D25","D_Small","D_SOD-123",-230.625000,-41.075000,270.000,bottom
"D26","D_Small","D_SOD-123",-249.675000,-41.075000,270.000,bottom
"D27","D_Small","D_SOD-123",-278.250000,-41.075000,270.000,bottom
"D28","D_Small","D_SOD-123",-25.837500,-60.125000,270.000,bottom
