Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",22.575000,-86.450000,180.000000,top
"SW1","ESC","SW_Cherry_MX_PCB_1.00u",28.575000,-28.575000,0.000000,top
"SW2","F1","SW_Cherry_MX_PCB_1.00u",64.293750,-28.575000,0.000000,top
"SW3","F2","SW_Cherry_MX_PCB_1.00u",83.343750,-28.575000,0.000000,top
"SW4","F3","SW_Cherry_MX_PCB_1.00u",102.393750,-28.575000,0.000000,top
"SW5","F4","SW_Cherry_MX_PCB_1.00u",121.443750,-28.575000,0.000000,top
"SW6","F5","SW_Cherry_MX_PCB_1.00u",152.400000,-28.575000,0.000000,top
"SW7","F6","SW_Cherry_MX_PCB_1.00u",171.450000,-28.575000,0.000000,top
"SW8","F7","SW_Cherry_MX_PCB_1.00u",190.500000,-28.575000,0.000000,top
"SW9","F8","SW_Cherry_MX_PCB_1.00u",209.550000,-28.575000,0.000000,top
"SW10","F9","SW_Cherry_MX_PCB_1.00u",238.125000,-28.575000,0.000000,top
"SW11","F10","SW_Cherry_MX_PCB_1.00u",257.175000,-28.575000,0.000000,top
"SW12","F11","SW_Cherry_MX_PCB_1.00u",276.225000,-28.575000,0.000000,top
"SW13","F12","SW_Cherry_MX_PCB_1.00u",295.275000,-28.575000,0.000000,top
"SW14","TILDE","SW_Cherry_MX_PCB_1.00u",28.575000,-47.625000,0.000000,top
"SW15","1","SW_Cherry_MX_PCB_1.00u",47.625000,-47.625000,0.000000,top
"SW16","2","SW_Cherry_MX_PCB_1.00u",66.675000,-47.625000,0.000000,top
"SW17","3","SW_Cherry_MX_PCB_1.00u",85.725000,-47.625000,0.000000,top
"SW18","4","SW_Cherry_MX_PCB_1.00u",104.775000,-47.625000,0.000000,top
"SW19","5","SW_Cherry_MX_PCB_1.00u",123.825000,-47.625000,0.000000,top
"SW20","6","SW_Cherry_MX_PCB_1.00u",142.875000,-47.625000,0.000000,top
"SW21","7","SW_Cherry_MX_PCB_1.00u",161.925000,-47.625000,0.000000,top
"SW22","8","SW_Cherry_MX_PCB_1.00u",180.975000,-47.625000,0.000000,top
"SW23","9","SW_Cherry_MX_PCB_1.00u",200.025000,-47.625000,0.000000,top
